Feature Name,Category,Description,Routes,Templates,File
"Auth","Security","User authentication and authorization system with Google OAuth integration","/login; /demo-login; /oauth2callback; /logout","","app.py"
"Chat","Core","AI-powered chat interface with intent routing and handler system","/app; /health","","app.py"
"Debug","Feature","Debug functionality and management","/debug/db-stats; /debug/db-stats/clear","","utils/db_optimizations.py"
"Settings","Feature","Settings functionality and management","/settings; /settings; /settings","backup-12-27-2024/templates/settings.html; backup-12-27-2024/templates/aa/settings.html","routes/settings.py"
"Health","Infrastructure","System health monitoring and status endpoints","/status; /health; /health; /status; /health; /health","backup-12-27-2024/templates/health.html","routes/api.py"
"User","Core","User profile management and settings","/user; /profile; /users; /guide; /profile; /user; /profile; /guide; /profile","","routes/api.py"
"Preferences","Feature","Preferences functionality and management","/preferences; /preferences","backup-12-27-2024/templates/setup/preferences.html","routes/user_routes.py"
"Activity","Feature","Activity functionality and management","/activity; /activity","","routes/user_routes.py"
"Dashboard","Core","Main user dashboard with overview and navigation","/dashboard; /dashboard; /dashboard; /dashboard","templates/admin/beta_dashboard.html; backup-12-27-2024/templates/memory_dashboard.html; backup-12-27-2024/templates/dashboard.html; backup-12-27-2024/templates/aa/dashboard.html; backup-12-27-2024/templates/admin/dashboard.html; backup-12-27-2024/templates/beta/dashboard.html; backup-12-27-2024/templates/forms/dashboard.html; backup-12-27-2024/templates/meet/dashboard.html; backup-12-27-2024/templates/pulse/dashboard.html","routes/dashboard.py"
"Help","Feature","Help functionality and management","/help; /help","backup-12-27-2024/templates/help.html","routes/main.py"
"Static","Feature","Static functionality and management","/static/<path:path>; /static/<path:path>","","routes/main.py"
"<Path:Path>","Feature","<Path:Path> functionality and management","/<path:path>; /<path:path>","","routes/main.py"
"Data","Feature","Data functionality and management","/api/data; /api/data","","routes/pulse.py"
"Finance","Feature","Finance functionality and management","/finance; /finance","","routes/pulse.py"
"Handlers","Feature","Handlers functionality and management","/handlers","","core/chat/blueprint.py"
"Landing Page","Interface","Public landing page with authentication entry point","","templates/landing.html; docs/_build/html/index.html; backup-12-27-2024/templates/index.html; backup-12-27-2024/templates/aa/index.html; backup-12-27-2024/templates/voice_mindfulness/index.html; backup-12-27-2024/templates/smart_shopping/index.html; backup-12-27-2024/templates/beta/index.html; backup-12-27-2024/templates/price_tracking/index.html; backup-12-27-2024/templates/chat/index.html; backup-12-27-2024/templates/language/index.html","templates/landing.html"
